#NAME?,RF AUSTRIA GVT BMK BID YLD 10Y - RED. YIELD,RF BELGIUM GVT BMK BID YLD 10Y - RED. YIELD,RF CYPRUS GVT BMK BID YLD 10Y - RED. YIELD,RF GERMANY GVT BMK BID YLD 10Y - RED. YIELD,RF SPAIN GVT BMK BID YLD 10Y - RED. YIELD,RF FINLAND GVT BMK BID YLD 10Y - RED. YIELD,RF FRANCE GVT BMK BID YLD 10Y - RED. YIELD,RF GREECE GVT BMK BID YLD 10Y - RED. YIELD,RF IRELAND GVT BMK BID YLD 10Y - RED. YIELD,RF ITALY GVT BMK BID YLD 10Y - RED. YIELD,RF LITHUANIA GVT BMK BID YLD 10Y - RED. YIELD,#ERROR,RF LATVIA GVT BMK BID YLD 10Y DISC - RED. YIELD,RF MALTA GVT BMK BID YLD 10Y - RED. YIELD,RF NETHERLANDS GVT BMK BID YLD 10Y - RED. YIELD,RF PORTUGAL GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVENIA GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVAKIA GVT BMK BID YLD 10Y - RED. YIELD,RFV DEM 6M IRS 10Y - MIDDLE RATE,
02-02-2023,2.696,2.698,3.812,2.065,3.039,2.588,2.51,4.087,2.484,3.889,4.65,,0.549,2.914,2.371,2.918,3.283,2.937,2.643,
03-02-2023,2.827,2.832,3.961,2.195,3.166,2.76,2.644,4.02,2.609,4.023,4.65,,0.549,2.756,2.499,3.056,3.23,3.053,2.754,
06-02-2023,2.915,2.92,4.035,2.284,3.297,2.853,2.739,4.16,2.72,4.147,4.65,,0.549,2.905,2.591,3.139,3.378,3.168,2.873,
07-02-2023,2.938,2.945,4.042,2.311,3.331,2.87,2.761,4.21,2.76,4.187,4.65,,0.549,2.942,2.602,3.179,3.398,3.236,2.897,
08-02-2023,2.991,3.007,4.122,2.367,3.393,2.904,2.817,4.244,2.791,4.241,4.65,,0.549,2.997,2.657,3.238,3.398,3.237,2.884,
09-02-2023,2.939,2.947,4.021,2.311,3.329,2.88,2.767,4.164,2.74,4.134,4.65,,0.549,2.945,2.602,3.169,3.36,3.179,2.8845,
10-02-2023,2.996,3,4.061,2.367,3.403,2.905,2.832,4.211,2.816,4.215,4.65,,0.549,2.945,2.658,3.248,3.455,3.253,2.898,
13-02-2023,2.981,2.997,4.07,2.374,3.397,2.91,2.834,4.211,2.817,4.183,4.65,,0.549,3.001,2.66,3.237,3.47,3.271,2.908,
14-02-2023,3.066,3.069,4.082,2.446,3.456,2.961,2.905,4.235,2.892,4.233,4.65,,0.549,2.955,2.731,3.31,3.485,3.324,2.983,
15-02-2023,3.106,3.111,4.177,2.474,3.522,3.001,2.944,4.239,2.935,4.33,4.65,,0.549,3.003,2.763,3.371,3.586,3.37,3.02,
16-02-2023,3.115,3.117,4.224,2.483,3.529,3.023,2.946,4.311,2.93,4.335,4.65,,0.549,3.011,2.773,3.382,3.646,3.337,3.017,
17-02-2023,3.094,3.103,4.223,2.46,3.506,2.993,2.91,4.326,2.898,4.311,4.65,,0.549,3.028,2.742,3.36,3.676,3.337,2.991,
20-02-2023,3.095,3.107,4.215,2.459,3.51,3.008,2.928,4.324,2.927,4.338,4.65,,0.549,2.974,2.75,3.351,3.625,3.372,3.0175,
21-02-2023,3.186,3.202,4.24,2.538,3.607,3.083,3.019,4.417,3.02,4.472,4.65,,0.549,3.017,2.834,3.443,3.689,3.51,3.086,
22-02-2023,3.164,3.181,4.284,2.514,3.584,3.066,2.998,4.438,3.013,4.462,4.65,,0.549,3.044,2.82,3.431,3.711,3.502,3.101,
23-02-2023,3.114,3.132,4.215,2.475,3.518,3.024,2.951,4.408,2.966,4.369,4.65,,0.549,3.676,2.773,3.359,3.738,3.473,3.071,
24-02-2023,3.176,3.206,4.288,2.529,3.582,3.087,3.009,4.413,3.026,4.433,4.65,,0.549,3.611,2.84,3.424,3.695,3.534,3.129,
27-02-2023,3.227,3.248,4.288,2.587,3.626,3.119,3.062,4.413,3.061,4.432,4.65,,0.549,3.697,2.893,3.473,3.766,3.567,3.179,
28-02-2023,3.276,3.297,4.288,2.634,3.673,3.175,3.11,4.424,3.129,4.469,4.65,,0.549,3.754,2.947,3.515,3.83,3.625,3.243,
01-03-2023,3.347,3.366,4.294,2.714,3.748,3.288,3.197,4.479,3.194,4.564,4.65,,0.549,3.791,3.021,3.591,3.847,3.656,3.282,
02-03-2023,3.413,3.408,4.282,2.754,3.796,3.304,3.244,4.527,3.242,4.631,4.65,,0.549,3.821,3.064,3.643,3.873,3.704,3.32,
03-03-2023,3.361,3.379,4.291,2.714,3.741,3.279,3.205,4.482,3.211,4.538,4.65,,0.549,3.809,3.027,3.592,3.863,3.723,3.279,
06-03-2023,3.373,3.389,4.307,2.727,3.751,3.281,3.224,4.519,3.253,4.55,4.65,,0.549,3.76,3.04,3.616,3.815,3.738,3.287,
07-03-2023,3.339,3.357,4.295,2.695,3.728,3.246,3.193,4.505,3.191,4.537,4.65,,0.549,3.778,3.011,3.585,3.812,3.704,3.239,
08-03-2023,3.283,3.308,4.255,2.645,3.654,3.188,3.141,4.478,3.136,4.42,4.45,,0.549,3.825,2.959,3.516,3.822,3.656,3.197,
09-03-2023,3.282,3.297,4.242,2.641,3.648,3.204,3.141,4.448,3.083,4.39,4.45,,0.549,3.798,2.959,3.506,3.805,3.652,3.189,
10-03-2023,3.136,3.157,4.101,2.496,3.529,3.028,3.005,4.319,2.967,4.32,4.4,,0.549,3.647,2.825,3.39,3.635,3.585,3.065,
13-03-2023,2.946,2.986,3.989,2.282,3.379,2.848,2.825,4.251,2.764,4.204,3.974,,0.549,3.573,2.653,3.237,3.327,3.417,2.957,
14-03-2023,3.132,3.15,4.129,2.454,3.52,3.033,2.982,4.346,2.9,4.306,3.985,,0.549,3.5,2.818,3.358,3.477,3.605,3.054,
15-03-2023,2.818,2.868,4.123,2.118,3.246,2.74,2.677,4.259,2.658,4.093,3.976,,0.549,3.464,2.488,3.094,3.364,3.398,2.927,
16-03-2023,2.932,2.969,4.425,2.243,3.34,2.843,2.797,4.241,2.793,4.156,3.978,,0.549,3.474,2.619,3.192,3.395,3.544,2.989,
17-03-2023,2.823,2.86,4.097,2.123,3.228,2.708,2.693,4.137,2.618,4.055,3.963,,0.549,3.473,2.517,3.069,3.332,3.48,2.854,
20-03-2023,2.768,2.816,4.115,2.099,3.181,2.701,2.651,4.089,2.612,3.987,3.956,,0.549,3.266,2.494,3.014,3.276,3.477,2.867,
21-03-2023,2.942,2.991,4.215,2.278,3.325,2.854,2.804,4.206,2.754,4.106,3.969,,0.549,3.42,2.652,3.144,3.399,3.665,2.951,
22-03-2023,2.986,3.032,4.122,2.329,3.372,2.916,2.853,4.252,2.767,4.179,3.977,,0.549,3.555,2.702,3.211,3.518,3.713,2.996,
23-03-2023,2.834,2.881,4.16,2.186,3.236,2.75,2.714,4.214,2.638,4.049,3.963,,0.549,3.497,2.557,3.072,3.403,3.56,2.912,
24-03-2023,2.776,2.827,3.865,2.125,3.184,2.695,2.661,4.076,2.552,4.013,4.15,,0.549,3.373,2.499,3.023,3.15,3.447,2.859,
27-03-2023,2.88,2.906,3.856,2.227,3.259,2.786,2.746,4.157,2.646,4.064,3.914,,0.549,3.402,2.587,3.112,3.308,3.584,2.919,
28-03-2023,2.938,2.967,3.912,2.284,3.327,2.869,2.806,4.202,2.716,4.134,3.959,,0.549,3.521,2.642,3.182,3.366,3.641,2.972,
29-03-2023,2.953,2.979,3.912,2.305,3.329,2.878,2.818,4.238,2.755,4.138,3.963,,0.549,3.519,2.655,3.183,3.344,3.643,2.989,
30-03-2023,3.017,3.032,4.032,2.366,3.395,2.934,2.873,4.32,2.813,4.222,3.974,,0.549,3.458,2.714,3.24,3.332,3.756,3.0095,
31-03-2023,2.957,2.973,4.02,2.31,3.325,2.882,2.818,4.253,2.748,4.123,3.976,,0.549,3.458,2.663,3.158,3.359,3.618,2.961,
03-04-2023,2.898,2.906,3.896,2.241,3.268,2.808,2.752,4.242,2.724,4.092,4.2,,0.549,3.549,2.59,3.103,3.312,3.625,2.916,
04-04-2023,2.923,2.941,3.896,2.266,3.298,2.84,2.78,4.238,2.714,4.127,4.2,,0.549,3.5,2.619,3.135,3.353,3.607,2.905,
05-04-2023,2.841,2.857,3.93,2.179,3.215,2.749,2.693,4.137,2.64,4.021,4.2,,0.549,3.494,2.541,3.054,3.278,3.542,2.841,
06-04-2023,2.847,2.864,3.839,2.181,3.225,2.749,2.701,4.092,2.625,4.024,4.2,,0.549,3.44,2.551,3.064,3.157,3.578,2.845,
07-04-2023,2.847,2.887,3.839,2.181,3.225,2.749,2.701,4.092,2.625,4.024,4.2,,0.549,3.44,2.551,3.064,3.157,3.578,2.8388,
10-04-2023,2.847,2.887,3.839,2.181,3.225,2.749,2.701,4.092,2.625,4.024,4.2,,0.549,3.44,2.551,3.064,3.157,3.578,2.8388,
